J100	37.97	-34.29	90.00	NUNCHUCK	NUNCHUCK
LED100	46.82	5.08	180.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED101	-53.17	8.89	0.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED102	60.79	12.70	180.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED103	-65.87	19.05	0.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED104	70.02	20.32	0.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED105	-73.83	29.21	180.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED106	77.64	31.75	0.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED107	35.73	35.56	0.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED108	-34.12	35.56	0.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED109	20.49	41.91	0.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED110	-19.22	41.91	180.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED111	-49.36	41.91	0.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED112	-78.91	41.91	180.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED113	80.18	44.45	0.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED114	51.90	44.45	180.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED115	56.98	49.53	180.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED116	14.14	52.07	0.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED117	-11.60	52.07	180.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED118	-56.98	53.34	0.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED119	-78.91	53.34	180.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED120	80.18	54.61	0.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED121	10.33	63.50	0.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED122	-9.06	63.50	180.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED123	77.64	64.77	0.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED124	61.13	64.77	0.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED125	-58.25	66.04	0.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED126	-76.03	66.04	0.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED127	59.86	76.20	0.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED128	-58.25	76.20	0.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED129	-71.29	76.20	180.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED130	72.56	77.47	0.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED131	7.79	77.47	0.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED132	-7.41	77.47	180.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED133	-56.98	87.63	0.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED134	-68.75	87.63	180.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED135	6.52	88.90	0.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED136	-4.91	88.90	0.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED137	68.75	90.17	0.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED138	58.25	90.17	180.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED139	5.25	101.60	0.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED140	-5.25	101.60	180.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED141	77.64	102.87	0.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED142	54.44	102.87	180.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED143	-51.90	102.87	0.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED144	-72.56	104.14	180.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED145	-51.90	111.76	0.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED146	-70.02	111.76	180.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED147	5.25	114.30	0.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED148	-5.25	114.30	180.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED149	68.75	116.84	0.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED150	54.44	116.84	180.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED151	-54.44	119.38	0.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED152	-64.94	119.38	180.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED153	66.21	127.00	0.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED154	56.98	127.00	180.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED155	6.52	127.00	0.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED156	-5.25	127.00	180.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED157	-55.71	129.54	0.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED158	-63.33	129.54	0.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED159	61.13	137.16	0.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED160	-61.13	138.43	180.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED161	17.95	140.97	0.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED162	-16.68	140.97	180.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED163	-63.67	143.51	180.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED164	64.94	146.05	0.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED165	12.87	149.86	0.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED166	-11.60	149.86	180.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED167	10.33	158.75	0.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED168	-7.79	158.75	180.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED169	4.91	168.91	180.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED170	-5.25	168.91	180.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED171	3.98	179.07	0.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED172	-1.44	179.07	180.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
